Cinsiyet;Yaþ;Toplu_tasima_araci;Toplu_tasima_haftalik;Egitim_durumu;Arac_durum;Aylik_gelir;Isýnma_turu;Arac_km_yillik;Arac_yakit_tipi;Yillik_ortalama_yakýt_TL;Bolge;Sehir;Hane_kisi;Yillik_ortalama_elk;"PV_sistem
";Yillik_ortalama_dogalgaz;"
Enerji_sinifi_kontorl";Tekstil_alisveris;Zararlý_ürün;Atik_donusum;PC_yenileme;;Birim_Dogalgaz;Birim_Elk_Ev;Birim_Benzin;Birim_Mazot;Birim_LPG;Birim_Arac_Sarj;Toplu_tasima_kisi;Toplu_tasima_km;Yillik_yakit_miktar;Yillik_lpg_miktar;Yillik_dogalgaz_miktar;Yillik_elk_miktar;Emisyon_elektrik;Emisyon_dogalgaz;Emisyon_benzin;Emisyon_mazot;Emisyon_lpg;Emisyon_toplutasima;Emisyon_kömür;Emisyon_Toplam
Erkek;35-44;5;0;4;1;80.000 TL+;Doðalgaz;3600;Elektrik;18000;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;13200;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0,00;0;1615,67;4400;2,03;3,17;0;0;0;0;0;5,20
Kadýn;18-24;3;3;4;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;Yalnýz yaþýyorum.;3600;Hayýr;6000;Evet;7-10 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;2400;1,11;1,44;0;0;0;0,00314925;0;2,55
Kadýn;25-34;1;3;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin;9000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;2400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;2400;1,11;0,58;0,478693141;0;0;0,00314925;0;2,16
Kadýn;45-54;2;1;5;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Ýç Anadolu;Ankara;2-3 kiþi;1200;Hayýr;2400;Hayýr;1-2 kez;Hayýr;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;293,76;800;0,37;0,58;0;0;0;0,00314925;0;0,95
Erkek;35-44;1;3;5;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;30000;Marmara;Ýstanbul;Yalnýz yaþýyorum.;1200;Hayýr;6000;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;734,39;800;0,37;1,44;1,595643803;0;0;0,00314925;0;3,41
Erkek;45-54;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;7200;Dizel;18000;Marmara;Kocaeli ;Yalnýz yaþýyorum.;1200;Hayýr;2400;Evet;1-2 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;293,76;0;0,00;0,58;0;0,025626808;0;0;0;0,60
Erkek;25-34;5;0;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin;18000;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;19200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;2350,06;0;0,00;4,61;0,957386282;0;0;0;0;5,57
Kadýn;35-44;5;1;4;1;80.000 TL+;Doðalgaz;3600;Benzin;42000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;8400;Hayýr;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;1028,15;0;0,00;2,02;2,233901325;0;0;0;0;4,25
Kadýn;35-44;5;0;5;1;80.000 TL+;Doðalgaz;3600;Benzin;18000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;6000;Evet;3-4 kez;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;734,39;0;0,00;1,44;0,957386282;0;0;0;0;2,40
Erkek;25-34;1;3;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;2400;1,11;1,44;0;0;0;0,00314925;0;2,55
